web-scraper-order,web-scraper-start-url,referencias,referencias-href,paginacion,nombre,precio,descripcion,puntuacion,opiniones,imagen-src
"1681669525-1800","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Barra de Sonido KALLEY K-ABS50W Negro","https://www.ktronix.com/barra-sonido-kalley-k-abs50w-negro/p/7705946952125","","Barra de Sonido KALLEY K-ABS50W Negro","$299.900
                                            Hoy","Disfruta: Bluetooth, entrada USB y Puerto Auxiliar.","4.9","9 Opiniones","/medias/7705946952125-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w5Mjd8aW1hZ2UvanBlZ3xoZGQvaDQ5LzEzMzQ5MzA4MzY2ODc4Lzc3MDU5NDY5NTIxMjVfMDAxXzYwV3g2MEh8NGIyMjVlZTVmMDc4NmY2YWZjMGMzMDEzYTJjMmUwOWExYjYwZWFhNmY1NjliNDhlYzk2Zjk3YTJjNzQ5Zjc0MQ"
"1681669529-1801","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Subwoofer SONOS SUB MINI Negro","https://www.ktronix.com/subwoofer-sonos-sub-mini-negro/p/840136804031","","Subwoofer SONOS SUB MINI Negro","$2.599.900
                                            Hoy","Graves potentes y nitidos que no se distorsionan","5.0","1 Opinión","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-840136804031-001.jpeg?context=bWFzdGVyfGltYWdlc3wxMjY1fGltYWdlL2pwZWd8aDI0L2gyNi8xMzUwNjQxOTQ5MDg0Ni82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0Lzg0MDEzNjgwNDAzMV8wMDEuanBlZ3wzOWMwNzcwZjA5MmEwY2NjYWI4OGY1NWRiOTM4ZTBmMDkzMjhlOGY1ZWI4ZmFkOTdjODVhNzAwYTIxYjQ1ZDBk"
"1681669533-1802","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Minicomponente PANASONIC SC-UA30 300 Watts Negro Torre de Sonido","https://www.ktronix.com/minicomponente-panasonic-sc-ua30-300-watts-negro-torre-sonido/p/885170338111","","Minicomponente PANASONIC SC-UA30 300 Watts Negro Torre de Sonido","$779.900
                                            Hoy","Full Karaoke con dos entradas para micrófono y puede disfrutarlo","4.8","24 Opiniones","/medias/885170338111-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wyMzQ0fGltYWdlL2pwZWd8aW1hZ2VzL2g0NC9oODIvOTExNjg2MTA3MTM5MC5qcGd8NjQ3Zjc5NTNiZmJjOTc2MDRjYmUzMTdlNDgyY2U3ZmNhOThiYWNhZTdhNDBjNjBkMGM2ZDNhNDZhNTEzNGVlNw"
"1681669537-1803","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Barra de Sonido SONOS BEAM GEN2 Negro","https://www.ktronix.com/barra-sonido-sonos-beam-gen2-negro/p/840136802327","","Barra de Sonido SONOS BEAM GEN2 Negro","$2.699.900
                                            Hoy","Beam Gen 2 cuenta con soporte para Dolby Atmos","5.0","13 Opiniones","/medias/840136802327-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w4NDN8aW1hZ2UvanBlZ3xpbWFnZXMvaDI5L2g3MC8xMDgwODkwNDE4NzkzNC5qcGd8YjNhMzYyYmI4ZTVjMzEyMzUxMTlmN2ViYTNiZTU4ZTU2YTc5ZDAwYjFiZDZiMzBhY2MyODU5MTkwMmY5NjM4OQ"
"1681669543-1804","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Subwoofer SONOS SUB Blanco","https://www.ktronix.com/subwoofer-sonos-sub-blanco/p/840136800125","","Subwoofer SONOS SUB Blanco","$4.099.900
                                            Hoy","Subwoofer inalhámbrico para graves profundos.","5.0","3 Opiniones","/medias/840136800125-001-60Wx60H?context=bWFzdGVyfGltYWdlc3w5NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaGI5L2gyNi85NTY1OTMzMTA5Mjc4LmpwZ3xlZDk5OGE3ZjI0MDQ0MjgwMzNmZGZmYTMzNzI4M2YzMDBmOTFjNTM3NmM2ODk3Y2Y0YzNjMWM4Yzg1OGRhYmY1"
"1681669547-1805","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Minicomponente SONY SRS-XP500 120 Watts Negro Torre de Sonido","https://www.ktronix.com/minicomponente-sony-srs-xp500-120-watts-negro-torre-sonido/p/4548736123564","","Minicomponente SONY SRS-XP500 120 Watts Negro Torre de Sonido","$999.900
                                            Hoy","X Balanced Speaker: Parlante de alta calidad de sonido","5.0","5 Opiniones","/medias/4548736123564-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wxNTAwfGltYWdlL2pwZWd8aW1hZ2VzL2hjNS9oNGUvMTA3Nzg0NTI0OTIzMTguanBnfGI0NTNiYzFmYTA5NTAyNmZmMzRlOTlhMzYyY2RhZTg3NTM3MWE4MzM4M2EyNTNmN2M0Mjg4Yjk4MzhjYTBmNDk"
"1681669551-1806","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante BOSE Home 500 Plateado","https://www.ktronix.com/parlante-bose-home-500-plateado/p/017817785617","","Parlante BOSE Home 500 Plateado","$2.099.900
                                            Hoy","Conectividad WiFi y Bluetooth, reproduce música fácilmente","4.7","85 Opiniones","/medias/017817785617-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzMDY1fGltYWdlL2pwZWd8aW1hZ2VzL2g1Ni9oOGUvOTExOTE3OTYwMzk5OC5qcGd8ZjVmZTZlMDA2ZjVjNTIwODE2YmFjNGI4ODE5NjM4MGFhNjEzZDFkZDc5NWFhMWZjNzZiNDVmNmZhYmRlYWYyMQ"
"1681669556-1807","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante JBL Inalámbrico Bluetooth Boombox 2 80W Verde Camuflado","https://www.ktronix.com/parlante-jbl-inalambrico-bluetooth-boombox-2-80w-verde-camuflado/p/6925281968037","","Parlante JBL Inalámbrico Bluetooth Boombox 2 80W Verde Camuflado","$1.899.900
                                            Hoy","Disfruta al aire libre gracias a su resitencia IPX7","5.0","4 Opiniones","/medias/6925281968037-001-60Wx60H?context=bWFzdGVyfGltYWdlc3wzNzg5fGltYWdlL2pwZWd8aGMzL2hhNC8xMzQ1NTI4NTA5MjM4Mi82OTI1MjgxOTY4MDM3XzAwMV82MFd4NjBIfDdjZTU4ODJjZTE4MGM5Mjg4M2I0ZGRlYjNhNWNkMzU0OTQyMGUxYzNjNGMzYWJkMjJlNzE5MDRkMTEyOTc1Mjk"
"1681669560-1808","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Barra de Sonido BOSE Smart 900 Blanco","https://www.ktronix.com/barra-sonido-bose-smart-900-blanco/p/017817829151","","Barra de Sonido BOSE Smart 900 Blanco","$4.339.900
                                            Hoy","Podras agrupar tu barra con otros altavoces Bose por WIFI","5.0","5 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-017817829151-001.jpg?context=bWFzdGVyfGltYWdlc3w2OTV8aW1hZ2UvanBlZ3xoZDEvaDllLzEzNzIxMDQ2OTA4OTU4LzYwV3g2MEhfbWFzdGVyL2hvdGZvbGRlci90cmFuc2Zlci9pbmNvbWluZy9kZXBvc2l0L2h5YnJpcy1pbnRlcmZhY2VzL0lOL21lZGlhL3Byb2R1Y3QvMDE3ODE3ODI5MTUxXzAwMS5qcGd8YjZiMTM3NmZhMGVhODYyY2UxMmI5YTg1Yjc1MDRiZTdiNTY1NTBkM2Q2N2U5NWZjNzBmN2UxNGU3YzdmMTY5MQ"
"1681669564-1809","https://www.ktronix.com/audio/audio-hogar/c/BI_112_KTRON","Parlante SONY SRS-XG300 Negro","https://www.ktronix.com/parlante-sony-srs-xg300-negro/p/4548736134874","","Parlante SONY SRS-XG300 Negro","$999.900
                                            Hoy","X Balanced Speaker: Claridad y fuerza de sonido","5.0","3 Opiniones","/medias/60Wx60H-master-hotfolder-transfer-incoming-deposit-hybris-interfaces-IN-media-product-4548736134874-001.jpg?context=bWFzdGVyfGltYWdlc3wxOTg2fGltYWdlL2pwZWd8aDc5L2gzOC8xMzQ3OTgyNzAxMzY2Mi82MFd4NjBIX21hc3Rlci9ob3Rmb2xkZXIvdHJhbnNmZXIvaW5jb21pbmcvZGVwb3NpdC9oeWJyaXMtaW50ZXJmYWNlcy9JTi9tZWRpYS9wcm9kdWN0LzQ1NDg3MzYxMzQ4NzRfMDAxLmpwZ3w5YjBjNmEzY2IxMjFiM2Y5YTRlNmNjMDZiYzEwMzU3ZTJhYzUzMDFlYTM4ZWE1ODI5OTNjYThjYjE4M2M1NGYw"
